FDAT	TDAT	OMR	STN	LNR	STN_NAMN	X	Y	TOP	FORS	REFNIVA	RORHOJD	RORLANGD	SILLANGD	JORDDJUP	MATTYP	STNTYP	STNMTRL	DIAM	AKVIFER	GEOHYLAG	JORDART	GENES	TACKT	BERGART	MAGSTLK	TYPOMR	GVMILJO	ANM	NIVMET	VDIST	VT	N	E	SESS	EUCD_GWB	TEMPERATURDJUP	ID
1972-03-15	1984-10-01	28	2	2	Visjövalen(Storlien)_2	7026054	1315795	19CNV	2321	631,7	0,5	1,8			N	R	BE		JÖ	M	MN	XX	XX	SKI		H		Alternativt omrnamn: Visjövalen		SE2		7021809	356192				28_2
1967-10-10	1975-09-15	26	8	1	Torpshammar_8	6955718	1522891	18GSV	2305	254,17	0,3	2,95			N	R	ME		JÖ	M	MN	XX	XX	GRA		G				SE2		6954107	564057				26
_8
1977-12-01	1996-12-20	73	2	1	Enköping_2	6607726	1572333	11HSV	381	27,41	0,7	59,09			N	R	ME	127	BÖ	I	MN	XX	XX	GNE		F				SE3		6606866	617767				73
_2
1972-11-01	1996-12-18	73	106	1	Enköping_106	6630973	1566759	11HSV	381	35,6	0,55	20,4			N	R	ME									F				SE3		6630037	611912				73_106
1972-11-01	1996-12-18	73	113	1	Enköping_113	6627988	1569020	11HSV	381	23,93	1,05	28,3			N	R	ME									F				SE3		6627081	614209				73_113
1966-05-03	1989-11-03	73	118	1	Enköping_118	6624392	1572748	11HSV	381	10,25	0,95	10,1			N	R	ME									F				SE3		6623531	617979				73_118
1979-01-12	1988-01-15	73	125	1	Enköping_125	6627263	1570084	11HSV	381	17,57	0,1	6,2			N	R	ME									F				SE3		6626369	615281				73_125
1979-01-10	1994-05-20	73	129	1	Enköping_129	6609532	1570923	11HSV	381	2,63	0,82	22,35			N	R	ME									F				SE3		6608655	616335				73_129
1972-04-10	1996-12-20	73	135	1	Enköping_135	6613730	1572534	11HSV	381	3,51	0,9	26,45			N	R	ME									F				SE3		6612871	617895				73_135
1973-02-01	1996-10-17	73	141	1	Enköping_141	6612909	1571621	11HSV	381	0,82					N	R	ME									F				SE3		6612039	616992				73_141
1987-02-12	1989-10-12	73	146	1	Enköping_146	6605958	1581099	11HSV	381	11,79	0,32	15,1			N	R	ME									F				SE3		6605205	626551				73_146
1987-02-12	1989-11-28	73	151	1	Enköping_151	6605963	1581726	11HSV	381	14,06	0,4	55,5			N	R	BE									F				SE3		6605218	627178				73_151
1987-02-12	1996-12-20	73	157	1	Enköping_157	6614019	1583089	11HSV	381	7,82	1	12,8			N	R	ME									F				SE3		6613288	628442				73_157
1977-12-01	1989-11-10	73	1	1	Enköping_1	6605603	1572958	11HSV	381	15,51	0,61	44,9			N	R	ME	127	BÖ	I	MN	XX	XX	GRA		F				SE3		6604752	618417				73
_1
1972-11-01	1996-12-18	73	109	1	Enköping_109	6630757	1566971	11HSV	381	39,7	0,9	22,7			N	R	ME									F				SE3		6629824	612127				73_109
1973-11-27	1989-11-03	73	122	1	Enköping_122	6625481	1572303	11HSV	381	8,1	0,5	7,1			N	R	ME									F				SE3		6624614	617521				73_122
1972-10-02	1989-11-17	73	143	1	Enköping_143	6611749	1570945	11HSV	381	4,27	1,2	13,2			N	R	ME									F				SE3		6610871	616330				73_143
1987-02-12	1989-10-12	73	153	1	Enköping_153	6604389	1580865	11HSV	381	2,65	1,24	18,45			N	R	ME									F				SE3		6603634	626336				73_153
1977-12-01	1996-12-20	73	4	1	Enköping_4	6605523	1572964	11HSV	381	15,73	0,32	44,76			N	R	ME	127	BÖ	I	MN	XX	XX	GRA		F				SE3		6604672	618424				73_4
1972-11-01	1996-12-18	73	112	1	Enköping_112	6629189	1567714	11HSV	381	31,91	0,85	15,1			N	R	ME									F				SE3		6628265	612889				73_112
1968-04-02	1996-05-31	73	121	1	Enköping_121	6620459	1572785	11HSV	381	26,54	1	17,6			N	R	ME									F				SE3		6619600	618064				73_121
1966-05-03	1989-11-03	73	116	1	Enköping_116	6626884	1570601	11HSV	381	20,42	1,33	12,4			N	R	ME									F				SE3		6625996	615803				73_116
1973-11-27	1996-12-18	73	117	1	Enköping_117	6624901	1572486	11HSV	381	10,61	0,95	13,2			N	R	ME									F				SE3		6624037	617711				73_117
1966-05-03	1996-12-18	73	119	1	Enköping_119	6623187	1572581	11HSV	381	23,43	0,44	23			N	R	ME									F				SE3		6622325	617827				73_119
1968-04-02	1982-08-02	73	120	1	Enköping_120	6621286	1572524	11HSV	381	16,27					N	R	ME									F				SE3		6620424	617793				73_120
1977-07-14	1996-12-18	73	123	1	Enköping_123	6619181	1572726	11HSV	381	18,22	1,05				N	R	ME									F				SE3		6618322	618020				73_123
1977-10-06	1990-04-20	73	124	1	Enköping_124	6626416	1571489	11HSV	381	27,44	1,18	21,6			N	R	ME									F				SE3		6625539	616696				73_124
1979-01-10	1996-10-22	73	127	1	Enköping_127	6610111	1570771	11HSV	381	2,6	0,75	21,7			N	R	ME									F				SE3		6609232	616176				73_127
1979-01-10	1985-08-16	73	128	1	Enköping_128	6609036	1571238	11HSV	381	5,27					N	R	ME									F				SE3		6608163	616656				73_128
1972-04-10	1996-08-30	73	130	1	Enköping_130	6613359	1570742	11HSV	381	3,52	0,48	21,5			N	R	ME									F				SE3		6612478	616108				73_130
1972-04-10	1978-12-08	73	131	1	Enköping_131	6613095	1571490	11HSV	381	3,62					N	R	ME									F				SE3		6612223	616859				73_131
1972-04-10	1982-03-04	73	132	1	Enköping_132	6613100	1571144	11HSV	381	4,7					N	R	ME									F				SE3		6612224	616513				73_132
1972-04-10	1993-10-29	73	133	1	Enköping_133	6613381	1571144	11HSV	381	3,54	0,56	19,5			N	R	ME									F				SE3		6612505	616509				73_133
1972-04-10	1982-04-02	73	134	1	Enköping_134	6613668	1572131	11HSV	381	6,35					N	R	ME									F				SE3		6612804	617493				73_134
1972-04-10	1979-12-07	73	136	1	Enköping_136	6613801	1572926	11HSV	381	6,5					N	R	ME									F				SE3		6612946	618286				73_136
1972-04-10	1983-05-05	73	137	1	Enköping_137	6613342	1573064	11HSV	381	4,42					N	R	ME									F				SE3		6612489	618429				73_137
1974-01-03	1989-11-17	73	138	1	Enköping_138	6612125	1570889	11HSV	381	7,46	0,68	11,1			N	R	ME									F				SE3		6611246	616270				73_138
1974-01-03	1996-10-17	73	139	1	Enköping_139	6611456	1570498	11HSV	381	2,41	1,3	7			N	R	ME									F				SE3		6610573	615887				73_139
1973-08-02	1987-07-31	73	140	1	Enköping_140	6613298	1571611	11HSV	381	1,83	-0,15	4,55			N	R	ME									F				SE3		6612428	616977				73_140
1973-02-01	1996-11-22	73	142	1	Enköping_142	6612586	1572522	11HSV	381	3,16	0,4	3,5			N	R	ME									F				SE3		6611727	617897				73_142
1972-11-01	1989-11-17	73	144	1	Enköping_144	6610787	1570606	11HSV	381	2,32	0,75	3,25			N	R	ME									F				SE3		6609905	616003				73_144
